参数,参数说明,字段类型,显示
宝伦1,代表这个小片X方向尺寸,小数,
宝伦2,代表这个小片Y方向尺寸,小数,
宝伦3,代表这个小片左下角X坐标,小数,
宝伦4,代表这个小片左下角Y坐标,小数,
宝伦5,小片显示的长(X)的信息,小数,
宝伦6,小片显示的宽(Y)的信息,小数,
宝伦7,小片的客户名,字符串,*
宝伦8,代表定位号,整数,*
宝伦9,代表货架号分组号,字符串,*
宝伦10,订单号,,
宝伦11,订单尺寸加片标记,字符串,*
宝伦12,,,
宝伦13,,,
宝伦14,,,
宝伦15,条码号,字符串,*
宝伦16,小片数量,整数，默认1,
宝伦17,标签1激光模板序号,整数,*
宝伦18,标签1激光打码基准边（小片的长或者宽尺寸）,小数,*
宝伦19,标签1激光打码角位号（1左下，2左上，3右下，4右上,整数,*
宝伦20,标签1激光打码离边角位置选择（1、2、3、4、5）,整数,
宝伦21,标签2激光模板序号,整数,*
宝伦22,标签2激光打码基准边（小片的长或者宽尺寸）,小数,
宝伦23,标签2激光打码角位号（1左下，2左上，3右下，4右上,整数,*
宝伦24,标签2激光打码离边角位置选择（1、2、3、4、5）,整数,
宝伦25,标签3激光模板序号,整数,
宝伦26,标签3激光打码基准边（小片的长或者宽尺寸）,小数,
宝伦27,标签3激光打码角位号（1左下，2左上，3右下，4右上,整数,
宝伦28,标签3激光打码离边角位置选择（1、2、3、4、5）,整数,
